City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
Cairns,AU,2020-09-10 15:19:50,-16.92,145.77,16,72,68.0,4.7
Bandarbeyla,SO,2020-09-10 15:23:12,9.49,50.81,60,76,77.94,21.99
Anloga,GH,2020-09-10 15:23:12,5.79,0.9,20,83,78.8,10.29
Mnogovershinnyy,RU,2020-09-10 15:20:03,53.94,139.92,0,95,37.0,2.3
Romny,UA,2020-09-10 15:23:12,50.75,33.47,0,67,64.08,10.94
Geraldton,AU,2020-09-10 15:23:12,-28.77,114.6,90,93,46.4,4.7
Saint George,US,2020-09-10 15:18:43,37.1,-113.58,1,22,69.8,4.7
Necochea,AR,2020-09-10 15:23:12,-38.55,-58.74,0,48,64.0,14.0
Saint Anthony,US,2020-09-10 15:19:24,45.02,-93.22,75,58,59.0,4.7
Somerset,US,2020-09-10 15:18:32,40.57,-74.55,40,74,84.0,6.96
Kharhiāl,IN,2020-09-10 15:23:13,20.28,82.77,100,86,79.56,3.62
Presidencia Roque Sáenz Peña,AR,2020-09-10 15:23:13,-26.79,-60.44,0,34,90.64,8.28
George Town,MY,2020-09-10 15:23:13,5.41,100.34,40,100,77.0,3.36
Asău,RO,2020-09-10 15:23:13,46.43,26.4,0,74,63.0,4.16
Manono,CD,2020-09-10 15:23:13,-7.3,27.42,100,27,78.84,5.86
Chokurdakh,RU,2020-09-10 15:23:14,70.63,147.92,1,80,39.76,5.39
Harper,LR,2020-09-10 15:23:14,4.38,-7.72,79,83,76.53,10.69
Port Elizabeth,ZA,2020-09-10 15:23:14,-33.92,25.57,100,93,60.8,14.99
Guatire,VE,2020-09-10 15:18:38,10.48,-66.54,56,59,82.99,4.0
Bichena,ET,2020-09-10 15:23:14,10.45,38.2,7,84,54.43,3.62
Severo-Kuril'sk,RU,2020-09-10 15:23:15,50.68,156.12,100,80,49.5,5.73
Vikhorevka,RU,2020-09-10 15:23:15,56.12,101.16,100,93,48.2,2.24
Hithadhoo,MV,2020-09-10 15:21:36,-0.6,73.08,92,78,81.61,13.53
Souillac,MU,2020-09-10 15:23:15,-20.52,57.52,75,83,71.6,17.22
Bitung,ID,2020-09-10 15:23:16,1.45,125.18,20,94,75.2,1.12
Arraial do Cabo,BR,2020-09-10 15:23:16,-22.97,-42.03,83,61,78.8,20.8
Abnūb,EG,2020-09-10 15:23:16,27.27,31.15,0,33,87.8,5.82
Boca do Acre,BR,2020-09-10 15:23:16,-8.75,-67.4,97,22,101.01,4.43
Lashio,MM,2020-09-10 15:23:16,22.93,97.75,100,99,68.07,0.81
Angoram,PG,2020-09-10 15:23:16,-4.06,144.07,100,97,73.67,2.19
Beaverlodge,CA,2020-09-10 15:23:17,55.22,-119.44,20,36,77.0,17.22
Kirovskiy,RU,2020-09-10 15:23:17,45.09,133.51,88,96,54.14,2.51
Jiwani,PK,2020-09-10 15:23:17,25.05,61.74,100,77,83.7,9.06
Yellowknife,CA,2020-09-10 15:23:17,62.46,-114.35,75,66,54.0,11.41
Nanortalik,GL,2020-09-10 15:23:18,60.14,-45.24,0,66,41.59,39.46
Port-de-Bouc,FR,2020-09-10 15:23:18,43.4,4.98,100,88,73.4,4.7
Klaksvík,FO,2020-09-10 15:23:18,62.23,-6.59,97,100,50.0,12.75
Kansanshi,ZM,2020-09-10 15:23:18,-12.1,26.43,24,33,58.51,3.29
Sisimiut,GL,2020-09-10 15:23:19,66.94,-53.67,52,70,40.68,11.21
Lovozero,RU,2020-09-10 15:23:19,68.0,35.01,0,82,40.41,0.87
Baturaja,ID,2020-09-10 15:23:19,-4.13,104.17,100,92,74.5,1.99
Kieta,PG,2020-09-10 15:23:19,-6.22,155.63,68,80,77.7,3.65
Minudasht,IR,2020-09-10 15:23:19,37.23,55.37,0,60,68.0,4.7
Mujiayingzi,CN,2020-09-10 15:23:20,42.12,118.78,100,92,56.01,13.49
Vila Velha,BR,2020-09-10 15:23:20,-20.33,-40.29,100,65,81.0,19.46
Pathein,MM,2020-09-10 15:23:20,16.78,94.73,100,91,79.34,2.84
Kashan,IR,2020-09-10 15:23:20,33.98,51.44,100,18,83.5,12.48
Ponta do Sol,PT,2020-09-10 15:23:20,32.67,-17.1,40,73,73.4,12.75
Ilongero,TZ,2020-09-10 15:23:21,-4.67,34.87,74,50,68.13,13.11
Fairbanks,US,2020-09-10 15:20:01,64.84,-147.72,75,75,42.8,13.87
Nizhniy Tsasuchey,RU,2020-09-10 15:23:21,50.52,115.13,8,74,54.52,8.08
George Town,MY,2020-09-10 15:20:25,5.41,100.34,40,100,77.0,3.36
Aklavik,CA,2020-09-10 15:23:21,68.22,-135.01,90,93,37.4,4.7
Chakradharpur,IN,2020-09-10 15:23:21,22.7,85.63,100,84,78.76,3.11
Berbera,SO,2020-09-10 15:23:22,10.44,45.01,0,46,93.25,4.97
Toktogul,KG,2020-09-10 15:23:22,41.87,72.94,0,36,64.92,0.25
Izhma,RU,2020-09-10 15:23:22,65.01,53.91,100,90,47.66,9.35
Jishou,CN,2020-09-10 15:23:22,28.32,109.72,86,84,69.8,2.89
Salinópolis,BR,2020-09-10 15:23:22,-0.61,-47.36,0,71,83.37,15.99
Chui,UY,2020-09-10 15:23:23,-33.7,-53.46,0,61,59.9,7.72
Monforte de Lemos,ES,2020-09-10 15:23:23,42.52,-7.51,100,57,72.0,3.02
Port Alfred,ZA,2020-09-10 15:23:23,-33.59,26.89,100,85,62.58,19.82
Brownfield,US,2020-09-10 15:23:23,33.18,-102.27,100,75,54.0,3.0
Margate,GB,2020-09-10 15:22:11,51.38,1.39,11,47,62.01,2.84
Port Blair,IN,2020-09-10 15:23:23,11.67,92.75,100,85,80.83,10.47
Zeya,RU,2020-09-10 15:23:24,53.75,127.27,90,72,51.44,3.0
Jacareacanga,BR,2020-09-10 15:23:24,-6.22,-57.75,100,52,93.2,5.82
Solwezi,ZM,2020-09-10 15:23:24,-12.17,26.39,12,33,58.75,3.29
Sayyan,YE,2020-09-10 15:23:24,15.17,44.32,0,41,67.89,10.69
Coahuayana Viejo,MX,2020-09-10 15:23:24,18.73,-103.68,75,78,80.6,11.41
Marsabit,KE,2020-09-10 15:23:24,2.33,37.99,47,64,69.1,21.97
Teeli,RU,2020-09-10 15:23:25,51.03,90.23,100,79,38.46,1.45
Zyryanskoye,RU,2020-09-10 15:23:25,56.83,86.63,0,93,42.73,3.89
Fort Nelson,CA,2020-09-10 15:23:25,58.81,-122.7,90,100,53.6,3.36
Kruisfontein,ZA,2020-09-10 15:23:25,-34.0,24.73,100,92,60.01,3.0
Marakkanam,IN,2020-09-10 15:23:25,12.2,79.95,100,79,82.17,13.94
Mackenzie,CA,2020-09-10 15:23:26,55.3,-123.17,1,56,68.0,9.17
Faanui,PF,2020-09-10 15:23:26,-16.48,-151.75,0,75,78.08,11.9
Fort-Shevchenko,KZ,2020-09-10 15:23:26,44.51,50.26,0,54,69.17,6.76
Chisec,GT,2020-09-10 15:23:26,15.82,-90.28,60,49,92.52,3.98
Namtsy,RU,2020-09-10 15:23:26,62.72,129.67,100,75,41.0,2.24
Ternate,ID,2020-09-10 15:23:27,0.8,127.4,2,78,80.33,4.0
Awjilah,LY,2020-09-10 15:23:27,29.11,21.29,0,44,82.51,19.28
Plettenberg Bay,ZA,2020-09-10 15:23:27,-34.05,23.37,100,90,60.21,17.13
Ixtapa,MX,2020-09-10 15:23:27,20.7,-105.2,40,66,89.01,8.05
Hastings,GB,2020-09-10 15:23:27,50.86,0.57,4,76,59.0,8.05
Dakoro,NE,2020-09-10 15:23:28,14.51,6.76,1,35,94.78,9.71
Pundaguitan,PH,2020-09-10 15:23:28,6.37,126.17,100,75,84.07,11.9
Baykit,RU,2020-09-10 15:23:28,61.67,96.37,1,85,43.2,0.87
Provideniya,RU,2020-09-10 15:23:29,64.38,-173.3,90,87,46.4,2.24
Gimli,CA,2020-09-10 15:20:30,50.63,-96.99,0,76,72.0,3.0
Festus,US,2020-09-10 15:23:29,38.22,-90.4,67,69,86.0,4.56
Hong Kong,HK,2020-09-10 15:20:16,22.29,114.16,100,79,84.0,3.0
Pronsk,RU,2020-09-10 15:23:29,54.1,39.61,95,88,57.0,3.0
Yazd,IR,2020-09-10 15:23:30,31.9,54.37,97,14,84.2,4.7
Puerto Carreño,CO,2020-09-10 15:19:02,6.19,-67.49,40,52,89.6,5.82
Emba,KZ,2020-09-10 15:23:30,48.83,58.14,45,40,61.97,13.22
Norden,DE,2020-09-10 15:23:30,53.6,7.2,75,76,55.4,1.12
Atherton,GB,2020-09-10 15:19:41,53.52,-2.49,100,68,55.99,5.99
Biak,ID,2020-09-10 15:23:30,-0.91,122.88,37,82,76.68,6.13
Talagang,PK,2020-09-10 15:23:31,32.93,72.42,0,44,85.8,2.68
Ambovombe,MG,2020-09-10 15:23:31,-25.17,46.08,99,76,72.14,6.64
Dinar,TR,2020-09-10 15:23:31,38.06,30.17,0,35,73.4,4.7
Sungai Penuh,ID,2020-09-10 15:23:31,-2.08,101.38,100,92,64.47,1.68
Moree,AU,2020-09-10 15:23:32,-29.47,149.85,18,87,48.2,6.93
Belokurikha,RU,2020-09-10 15:23:32,52.0,84.99,0,86,42.53,4.81
Nochistlán de Mejía,MX,2020-09-10 15:23:32,21.37,-102.85,75,56,71.6,8.05
Nikolskoye,RU,2020-09-10 15:23:32,59.7,30.79,75,81,52.0,20.13
Cherskiy,RU,2020-09-10 15:23:32,68.75,161.3,71,87,39.11,2.59
Gorbatovka,RU,2020-09-10 15:23:33,56.25,43.75,90,100,61.0,11.18
Lompoc,US,2020-09-10 15:20:08,34.64,-120.46,90,93,57.2,3.36
Lukang,TW,2020-09-10 15:23:33,24.06,120.44,75,83,80.01,5.82
Sobolevo,RU,2020-09-10 15:23:33,54.43,31.9,0,81,51.3,11.36
Villa Constitución,AR,2020-09-10 15:23:34,-33.23,-60.33,0,32,82.99,8.01
Krasnyy Chikoy,RU,2020-09-10 15:23:34,50.36,108.75,100,83,54.43,3.94
Pumiao,CN,2020-09-10 15:23:34,22.75,108.48,40,88,78.8,2.24
Bambous Virieux,MU,2020-09-10 15:23:34,-20.34,57.76,75,83,72.0,17.22
Aljezur,PT,2020-09-10 15:23:34,37.32,-8.8,81,83,68.0,7.38
Auki,SB,2020-09-10 15:23:35,-8.77,160.7,29,85,75.6,3.6
Saint Simons,US,2020-09-10 15:23:35,31.14,-81.39,1,74,88.0,10.29
Vengerovo,RU,2020-09-10 15:23:35,55.68,76.75,4,78,47.64,6.35
Andenes,NO,2020-09-10 15:23:35,69.31,16.12,75,81,48.2,21.92
Neuquén,AR,2020-09-10 15:23:35,-38.95,-68.06,40,21,69.8,25.28
Crib Point,AU,2020-09-10 15:23:36,-38.35,145.2,0,78,54.0,13.98
Lebu,CL,2020-09-10 15:23:36,-37.62,-73.65,26,70,53.35,13.38
Codrington,AU,2020-09-10 15:23:36,-38.27,141.97,96,65,55.0,14.0
Mount Isa,AU,2020-09-10 15:23:36,-20.73,139.5,0,33,55.4,8.79
Petropavlovsk-Kamchatskiy,RU,2020-09-10 15:23:37,53.05,158.65,40,100,41.0,4.47
Kimbe,PG,2020-09-10 15:23:37,-5.55,150.14,10,89,74.08,4.81
Visnes,NO,2020-09-10 15:23:37,59.36,5.22,75,71,54.0,9.17
Statesboro,US,2020-09-10 15:23:37,32.45,-81.78,40,55,89.6,4.7
Walvis Bay,NA,2020-09-10 15:23:37,-22.96,14.51,0,31,80.6,8.05
Saint-Joseph,RE,2020-09-10 15:23:38,-21.37,55.62,90,77,69.8,11.41
Sarab,IR,2020-09-10 15:23:38,38.61,44.99,0,38,71.83,3.06
Saskylakh,RU,2020-09-10 15:23:38,71.92,114.08,88,85,46.29,5.68
Sechura,PE,2020-09-10 15:23:38,-5.56,-80.82,18,56,73.67,15.93
Miramar,US,2020-09-10 15:21:38,25.99,-80.23,1,70,88.0,10.29
Inírida,CO,2020-09-10 15:23:38,3.87,-67.92,40,50,93.11,1.97
Labuhan,ID,2020-09-10 15:23:39,-6.88,112.21,21,79,77.38,8.68
Port Macquarie,AU,2020-09-10 15:18:53,-31.43,152.92,3,98,53.01,7.74
Téra,NE,2020-09-10 15:23:39,14.01,0.75,0,46,90.93,8.81
Ełk,PL,2020-09-10 15:23:39,53.83,22.36,0,83,50.09,7.29
